ID Wage Bin,Wage Bin,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Record Count,Geography,ID Geography,Slug Geography,share
17,"$160-170k",2016,"2016","true","true",552650,18216.83297005377,5816,"United States","01000US","united-states",0.003801092845315701
9,"$80-90k",2016,"2016","true","true",5084130,54381.835774797495,50617,"United States","01000US","united-states",0.034968334692219154
5,"$40-50k",2016,"2016","true","true",15123581,90375.65578668928,144076,"United States","01000US","united-states",0.1040190636653442
18,"$170-180k",2016,"2016","true","true",455511,16544.087104769496,4674,"United States","01000US","united-states",0.0031329767539357645
3,"$20-30k",2016,"2016","true","true",21371186,104825.32227211524,188687,"United States","01000US","united-states",0.1469897081344632
12,"$110-120k",2016,"2016","true","true",144563,9279.312042120828,1430,"Texas","04000US48",,0.011845417235429092
19,"$180-190k",2016,"2016","true","true",415815,15808.94594766273,4371,"United States","01000US","united-states",0.0028599500976656984
10,"$90-100k",2016,"2016","true","true",3440709,44998.513019947735,34935,"United States","01000US","united-states",0.023664985728242723
2,"$10-20k",2016,"2016","true","true",20389119,102793.07112297037,179785,"United States","01000US","united-states",0.1402351114687242
20,"$190-200k",2016,"2016","true","true",215272,11382.739031198564,2232,"United States","01000US","united-states",0.0014806276286923037
16,"$150-160k",2016,"2016","true","true",91457,7396.90120365907,975,"Texas","04000US48",,0.00749393914141681
11,"$100-110k",2016,"2016","true","true",286007,12975.186487967696,2897,"Texas","04000US48",,0.023435265228677934
21,"$200k+",2016,"2016","true","true",3246899,43742.62632939787,35081,"United States","01000US","united-states",0.022331972420813723
11,"$100-110k",2016,"2016","true","true",3603926,46026.961166594694,36228,"United States","01000US","united-states",0.02478758225576266
1,"< $10K",2016,"2016","true","true",18071160,97666.88817368487,174284,"United States","01000US","united-states",0.12429233146214654
6,"$50-60k",2016,"2016","true","true",11847222,80989.04434778473,116099,"United States","01000US","united-states",0.08148446716921519
1,"< $10K",2016,"2016","true","true",1442895,27692.984693726263,13435,"Texas","04000US48",,0.11823006787293054
21,"$200k+",2016,"2016","true","true",270291,12621.972377501193,3064,"Texas","04000US48",,0.02214750434053917
10,"$90-100k",2016,"2016","true","true",279383,12827.61511510391,2763,"Texas","04000US48",,0.022892498104534947
2,"$10-20k",2016,"2016","true","true",1891314,31037.86187240701,15695,"Texas","04000US48",,0.15497328813879302
12,"$110-120k",2016,"2016","true","true",1753923,32318.006448012038,17684,"United States","01000US","united-states",0.012063374950754819
18,"$170-180k",2016,"2016","true","true",37855,4769.378456745867,403,"Texas","04000US48",,0.003101819064678848
3,"$20-30k",2016,"2016","true","true",1936762,31339.281437738395,15947,"Texas","04000US48",,0.15869727368499628
15,"$140-150k",2016,"2016","true","true",72519,6591.837419875807,713,"Texas","04000US48",,0.005942169244523718
9,"$80-90k",2016,"2016","true","true",394894,15176.53102048385,3879,"Texas","04000US48",,0.032357409529184755
4,"$30-40k",2016,"2016","true","true",1525630,28366.1947052643,13502,"Texas","04000US48",,0.12500933085843324
13,"$120-130k",2016,"2016","true","true",2049018,34895.19391118655,20853,"United States","01000US","united-states",0.014093020283584706
7,"$60-70k",2016,"2016","true","true",9088557,71664.72250302475,89509,"United States","01000US","united-states",0.062510538291765
5,"$40-50k",2016,"2016","true","true",1193981,25481.010699401195,11099,"Texas","04000US48",,0.09783418382417951
4,"$30-40k",2016,"2016","true","true",19001439,99782.67882492718,174794,"United States","01000US","united-states",0.13069073343635706
8,"$70-80k",2016,"2016","true","true",513898,17225.481642290328,5047,"Texas","04000US48",,0.042108535562021675
6,"$50-60k",2016,"2016","true","true",1006815,23596.801054949487,9754,"Texas","04000US48",,0.08249789886685072
14,"$130-140k",2016,"2016","true","true",1073008,25337.731582529843,11149,"United States","01000US","united-states",0.007380083292801067
20,"$190-200k",2016,"2016","true","true",21353,3584.4616927097513,219,"Texas","04000US48",,0.001749653744236889
7,"$60-70k",2016,"2016","true","true",748374,20577.497981381286,7194,"Texas","04000US48",,0.06132137737973763
14,"$130-140k",2015,"2015","true","true",1025432,24772.5031768205,10524,"United States","01000US","united-states",0.007150543951904211
7,"$60-70k",2015,"2015","true","true",705892,20011.810058181098,6744,"Texas","04000US48",,0.05879339331010389
6,"$50-60k",2015,"2015","true","true",972350,23208.496257102255,9331,"Texas","04000US48",,0.08098654749604688
5,"$40-50k",2015,"2015","true","true",1232307,25817.726542570937,11336,"Texas","04000US48",,0.10263823662797453
9,"$80-90k",2015,"2015","true","true",367873,14661.090421858726,3673,"Texas","04000US48",,0.030639959054880702
4,"$30-40k",2015,"2015","true","true",1527820,28350.15532354607,13585,"Texas","04000US48",,0.12725136730129102
3,"$20-30k",2015,"2015","true","true",1877916,30901.41552005865,15902,"Texas","04000US48",,0.15641068887497955
10,"$90-100k",2015,"2015","true","true",262168,12432.843637104961,2665,"Texas","04000US48",,0.02183584222136434
2,"$10-20k",2015,"2015","true","true",1872805,30867.120845897294,15622,"Texas","04000US48",,0.15598499622906778
1,"< $10K",2015,"2015","true","true",1484171,28000.383730191228,13473,"Texas","04000US48",,0.12361586381833227
11,"$100-110k",2015,"2015","true","true",278187,12798.31090280045,2837,"Texas","04000US48",,0.023170056757631296
21,"$200k+",2015,"2015","true","true",2981526,41949.98460315484,31850,"United States","01000US","united-states",0.02079078155035649
20,"$190-200k",2015,"2015","true","true",194729,10826.672857483874,2025,"United States","01000US","united-states",0.0013578845532520492
12,"$110-120k",2015,"2015","true","true",130253,8812.517398792914,1264,"Texas","04000US48",,0.010848707534326728
19,"$180-190k",2015,"2015","true","true",389361,15298.91410260341,4044,"United States","01000US","united-states",0.002715092705959416
18,"$170-180k",2015,"2015","true","true",412068,15737.449419047927,4236,"United States","01000US","united-states",0.002873433192228509
13,"$120-130k",2015,"2015","true","true",157684,9684.959151448433,1631,"Texas","04000US48",,0.013133421870074206
17,"$160-170k",2015,"2015","true","true",491260,17178.502879313848,5092,"United States","01000US","united-states",0.003425654964748967
16,"$150-160k",2015,"2015","true","true",1079531,25412.740155166488,11176,"United States","01000US","united-states",0.007527787179396689
14,"$130-140k",2015,"2015","true","true",84379,7106.577099104951,871,"Texas","04000US48",,0.0070278849089000246
15,"$140-150k",2015,"2015","true","true",772097,21514.854550204567,7982,"United States","01000US","united-states",0.005383987952037176
8,"$70-80k",2015,"2015","true","true",493581,16890.33813314865,4847,"Texas","04000US48",,0.04111011580155943
15,"$140-150k",2015,"2015","true","true",60157,6006.577766244136,645,"Texas","04000US48",,0.005010446585817547
13,"$120-130k",2015,"2015","true","true",1900044,33617.103370539655,19333,"United States","01000US","united-states",0.013249389654849748
12,"$110-120k",2015,"2015","true","true",1626297,31131.357713574147,16648,"United States","01000US","united-states",0.011340496666136773
16,"$150-160k",2015,"2015","true","true",90544,7359.711737125244,938,"Texas","04000US48",,0.007541364690165134
11,"$100-110k",2015,"2015","true","true",3368094,44525.213333888576,33842,"United States","01000US","united-states",0.02348639810454995
10,"$90-100k",2015,"2015","true","true",3312220,44163.157612806994,33267,"United States","01000US","united-states",0.023096777444409935
17,"$160-170k",2015,"2015","true","true",40806,4951.052065729316,422,"Texas","04000US48",,0.0033987114281109564
9,"$80-90k",2015,"2015","true","true",4852634,53160.42134707343,47855,"United States","01000US","united-states",0.03383839464684615
8,"$70-80k",2015,"2015","true","true",6316268,60328.68324213891,62783,"United States","01000US","united-states",0.044044609438759576
18,"$170-180k",2015,"2015","true","true",35032,4588.520822283794,372,"Texas","04000US48",,0.0029177978422188656
7,"$60-70k",2015,"2015","true","true",8817232,70625.51953686457,87211,"United States","01000US","united-states",0.061484335333923924
6,"$50-60k",2015,"2015","true","true",11448206,79685.14343169265,112548,"United States","01000US","united-states",0.07983064715500736
19,"$180-190k",2015,"2015","true","true",37659,4756.932359757181,399,"Texas","04000US48",,0.0031365993645843873
5,"$40-50k",2015,"2015","true","true",14797713,89438.16927538959,141829,"United States","01000US","united-states",0.10318743436343349
4,"$30-40k",2015,"2015","true","true",18742734,99100.72996511316,174251,"United States","01000US","united-states",0.1306968606849108
20,"$190-200k",2015,"2015","true","true",16574,3158.5551188670074,157,"Texas","04000US48",,0.0013804402100061508
3,"$20-30k",2015,"2015","true","true",21308700,104573.7412335336,189804,"United States","01000US","united-states",0.1485898586234302
2,"$10-20k",2015,"2015","true","true",20987738,103919.50250482502,185322,"United States","01000US","united-states",0.14635172592629273
21,"$200k+",2015,"2015","true","true",278157,12797.637159895034,3012,"Texas","04000US48",,0.023167558072564313
1,"< $10K",2015,"2015","true","true",18582269,98739.08153706872,178082,"United States","01000US","united-states",0.1295779059075659
19,"$180-190k",2014,"2014","true","true",340317,14305.110063391077,3574,"United States","01000US","united-states",0.0024165264256651685
4,"$30-40k",2014,"2014","true","true",1475651,27886.605692300545,13213,"Texas","04000US48",,0.12570471130188218
12,"$110-120k",2014,"2014","true","true",123614,8586.375278890186,1210,"Texas","04000US48",,0.010530174264016942
11,"$100-110k",2014,"2014","true","true",3135463,42986.91998842155,31372,"United States","01000US","united-states",0.022264327659785983
5,"$40-50k",2014,"2014","true","true",14459569,88435.65564274589,139529,"United States","01000US","united-states",0.10267465507814441
15,"$140-150k",2014,"2014","true","true",711579,20657.90804227672,7320,"United States","01000US","united-states",0.005052787423044969
13,"$120-130k",2014,"2014","true","true",160729,9775.257148853856,1572,"Texas","04000US48",,0.013691850270043675
5,"$40-50k",2014,"2014","true","true",1204505,25525.274938762675,11284,"Texas","04000US48",,0.10260688556215093
20,"$190-200k",2014,"2014","true","true",179799,10403.775726741125,1857,"United States","01000US","united-states",0.0012767185735892464
4,"$30-40k",2014,"2014","true","true",18444902,98294.53729312767,173148,"United States","01000US","united-states",0.13097374830468156
