ID Value Bucket,Value Bucket,ID Year,Year,Property Value by Bucket,Property Value by Bucket Moe,Geography,ID Geography,Slug Geography,share
24,"$1,500,000 to $1,999,999",2017,"2017",1163,458,"Austin, TX","16000US4805000","austin-tx",0.006869827693143759
13,"$100,000 to $124,999",2016,"2016",5485921,40800,"United States","01000US","united-states",0.07312360897692
0,"Less Than $10,000",2016,"2016",858,482.99999999999994,"Austin, TX","16000US4805000","austin-tx",0.0051336668022880115
3,"$20,000 to $24,999",2016,"2016",551250,10889,"United States","01000US","united-states",0.0073477889033632
1,"$10,000 to $14,999",2016,"2016",737,358,"Austin, TX","16000US4805000","austin-tx",0.004409688150683292
14,"$125,000 to $149,999",2016,"2016",5121498,39785,"United States","01000US","united-states",0.06826609736598063
2,"$15,000 to $19,999",2016,"2016",193,196,"Austin, TX","16000US4805000","austin-tx",0.0011547758657827346
7,"$40,000 to $49,999",2016,"2016",1216199,17626,"United States","01000US","united-states",0.016211108419920944
3,"$20,000 to $24,999",2016,"2016",76,125,"Austin, TX","16000US4805000","austin-tx",0.00045473039274346024
15,"$150,000 to $174,999",2016,"2016",6353838,43924,"United States","01000US","united-states",0.08469235437672096
4,"$25,000 to $29,999",2016,"2016",244,206,"Austin, TX","16000US4805000","austin-tx",0.001459923892492162
25,"$2,000,000 or More",2016,"2016",1782,568,"Austin, TX","16000US4805000","austin-tx",0.010662231050905871
5,"$30,000 to $34,999",2016,"2016",150,197,"Austin, TX","16000US4805000","austin-tx",0.0008974941962041978
16,"$175,000 to $199,999",2016,"2016",4514369,34067,"United States","01000US","united-states",0.060173479263286755
6,"$35,000 to $39,999",2016,"2016",281,282,"Austin, TX","16000US4805000","austin-tx",0.0016813057942225308
8,"$50,000 to $59,999",2016,"2016",1539615,18269,"United States","01000US","united-states",0.020522024512383732
7,"$40,000 to $49,999",2016,"2016",447,285,"Austin, TX","16000US4805000","austin-tx",0.0026745327046885097
17,"$200,000 to $249,999",2016,"2016",7973867,47050,"United States","01000US","united-states",0.10628624301041997
8,"$50,000 to $59,999",2016,"2016",1079,561,"Austin, TX","16000US4805000","austin-tx",0.006455974918028864
4,"$25,000 to $29,999",2016,"2016",498424,9088,"United States","01000US","united-states",0.0066436541249340585
9,"$60,000 to $69,999",2016,"2016",549,389,"Austin, TX","16000US4805000","austin-tx",0.0032848287581073643
18,"$250,000 to $299,999",2016,"2016",6462218,39265,"United States","01000US","united-states",0.08613698632474183
10,"$70,000 to $79,999",2016,"2016",1123,513,"Austin, TX","16000US4805000","austin-tx",0.006719239882248761
9,"$60,000 to $69,999",2016,"2016",1791841,21381,"United States","01000US","united-states",0.02388402615218362
11,"$80,000 to $89,999",2016,"2016",1179,622,"Austin, TX","16000US4805000","austin-tx",0.007054304382164995
19,"$300,000 to $399,999",2016,"2016",8734811,47849,"United States","01000US","united-states",0.11642911081863912
12,"$90,000 to $99,999",2016,"2016",1996,648,"Austin, TX","16000US4805000","austin-tx",0.011942656104157193
2,"$15,000 to $19,999",2016,"2016",510633,9259,"United States","01000US","united-states",0.006806391820573353
13,"$100,000 to $124,999",2016,"2016",5159,1022.0000000000001,"Austin, TX","16000US4805000","austin-tx",0.030867817054783045
20,"$400,000 to $499,999",2016,"2016",4952822,32720,"United States","01000US","united-states",0.06601776060214627
14,"$125,000 to $149,999",2016,"2016",5371,1128,"Austin, TX","16000US4805000","austin-tx",0.032136275518751645
10,"$70,000 to $79,999",2016,"2016",2028732,23113,"United States","01000US","united-states",0.0270416226349167
15,"$150,000 to $174,999",2016,"2016",9770,1777,"Austin, TX","16000US4805000","austin-tx",0.058456788646100086
21,"$500,000 to $749,999",2016,"2016",5651174,32370,"United States","01000US","united-states",0.07532631947061157
16,"$175,000 to $199,999",2016,"2016",8853,1460,"Austin, TX","16000US4805000","austin-tx",0.05297010745997176
5,"$30,000 to $34,999",2016,"2016",617388,12456,"United States","01000US","united-states",0.0082293636198995
17,"$200,000 to $249,999",2016,"2016",22780,2119,"Austin, TX","16000US4805000","austin-tx",0.13629945193021084
22,"$750,000 to $999,999",2016,"2016",2237096,20327,"United States","01000US","united-states",0.029818973541148663
18,"$250,000 to $299,999",2016,"2016",20002,2084,"Austin, TX","16000US4805000","austin-tx",0.1196778594165091
11,"$80,000 to $89,999",2016,"2016",2410556,24738,"United States","01000US","united-states",0.03213107778274028
19,"$300,000 to $399,999",2016,"2016",32072,2826,"Austin, TX","16000US4805000","austin-tx",0.19189622573774023
23,"$1,000,000 to $1,499,999",2016,"2016",1211844,14408.999999999998,"United States","01000US","united-states",0.016153059221419092
20,"$400,000 to $499,999",2016,"2016",18980,1989,"Austin, TX","16000US4805000","austin-tx",0.11356293229303784
1,"$10,000 to $14,999",2016,"2016",559146,10562,"United States","01000US","united-states",0.007453037232036136
21,"$500,000 to $749,999",2016,"2016",22241,2272,"Austin, TX","16000US4805000","austin-tx",0.1330744561185171
24,"$1,500,000 to $1,999,999",2016,"2016",447209,8178.999999999999,"United States","01000US","united-states",0.0059609928846878065
22,"$750,000 to $999,999",2016,"2016",7269,1138,"Austin, TX","16000US4805000","austin-tx",0.04349256874805543
12,"$90,000 to $99,999",2016,"2016",2022917,21338,"United States","01000US","united-states",0.026964112625895282
23,"$1,000,000 to $1,499,999",2016,"2016",3035,652,"Austin, TX","16000US4805000","austin-tx",0.018159299236531604
25,"$2,000,000 or More",2016,"2016",632437,11335,"United States","01000US","united-states",0.00842995659079603
24,"$1,500,000 to $1,999,999",2016,"2016",906,430.00000000000006,"Austin, TX","16000US4805000","austin-tx",0.005420864945073356
6,"$35,000 to $39,999",2016,"2016",475525,11468,"United States","01000US","united-states",0.006338425974189181
0,"Less Than $10,000",2016,"2016",1021239,17427,"United States","01000US","united-states",0.013612423749445317
10,"$70,000 to $79,999",2015,"2015",2160730,19708,"United States","01000US","united-states",0.029000552327560308
9,"$60,000 to $69,999",2015,"2015",693,327,"Austin, TX","16000US4805000","austin-tx",0.004282086296705945
1,"$10,000 to $14,999",2015,"2015",560168,11116,"United States","01000US","united-states",0.007518376380308878
24,"$1,500,000 to $1,999,999",2015,"2015",387386,8046.999999999999,"United States","01000US","united-states",0.005199357607828964
10,"$70,000 to $79,999",2015,"2015",657,473.00000000000006,"Austin, TX","16000US4805000","austin-tx",0.004059640255318623
16,"$175,000 to $199,999",2015,"2015",4540023,35851,"United States","01000US","united-states",0.06093457978545553
7,"$40,000 to $49,999",2015,"2015",1274745,15303,"United States","01000US","united-states",0.01710917563823146
11,"$80,000 to $89,999",2015,"2015",1583,640,"Austin, TX","16000US4805000","austin-tx",0.009781446764336956
25,"$2,000,000 or More",2015,"2015",555865,8576,"United States","01000US","united-states",0.007460623039231792
11,"$80,000 to $89,999",2015,"2015",2564686,22702,"United States","01000US","united-states",0.03442230660321342
12,"$90,000 to $99,999",2015,"2015",1185,439,"Austin, TX","16000US4805000","austin-tx",0.007322182195666009
17,"$200,000 to $249,999",2015,"2015",7825963,44403,"United States","01000US","united-states",0.10503730197435628
3,"$20,000 to $24,999",2015,"2015",553744,12543,"United States","01000US","united-states",0.007432155728884476
13,"$100,000 to $124,999",2015,"2015",5552,1305,"Austin, TX","16000US4805000","austin-tx",0.03430612282728918
5,"$30,000 to $34,999",2015,"2015",654975,12830,"United States","01000US","united-states",0.008790842336036345
18,"$250,000 to $299,999",2015,"2015",6209502,35851,"United States","01000US","united-states",0.0833417352834877
14,"$125,000 to $149,999",2015,"2015",6618,1200,"Austin, TX","16000US4805000","austin-tx",0.040892997275035994
1,"$10,000 to $14,999",2015,"2015",397,264,"Austin, TX","16000US4805000","austin-tx",0.0024530855119657435
12,"$90,000 to $99,999",2015,"2015",2218228,25423,"United States","01000US","united-states",0.02977227010707467
15,"$150,000 to $174,999",2015,"2015",11340,1608,"Austin, TX","16000US4805000","austin-tx",0.07007050303700638
8,"$50,000 to $59,999",2015,"2015",1614674,18987,"United States","01000US","united-states",0.021671582210156342
